Gene	Slope	P-value
CHCHD2P7	CHCHD2P7	CHCHD2P7
IBSP	IBSP	IBSP
MEPE	MEPE	MEPE
HSP90AB3P	HSP90AB3P	HSP90AB3P
SPP1	SPP1	SPP1
RNU1-36P	RNU1-36P	RNU1-36P
PKD2	PKD2	PKD2
ABCG2	ABCG2	ABCG2
RP11-147K6.1	RP11-147K6.1	RP11-147K6.1
RNU6-818P	RNU6-818P	RNU6-818P
RNU6ATAC31P	RNU6ATAC31P	RNU6ATAC31P
RP11-147K6.2	RP11-147K6.2	RP11-147K6.2
RNU6-1298P	RNU6-1298P	RNU6-1298P
PPM1K	PPM1K	PPM1K
RP11-10L7.1	RP11-10L7.1	RP11-10L7.1
HERC6	HERC6	HERC6
HERC5	HERC5	HERC5
NCOA4P2	NCOA4P2	NCOA4P2
PYURF	PYURF	PYURF
HERC3	HERC3	HERC3
RP11-466G12.2	RP11-466G12.2	RP11-466G12.2
RN7SKP244	RN7SKP244	RN7SKP244
RNU6-33P	RNU6-33P	RNU6-33P
NAP1L5	NAP1L5	NAP1L5
FAM13A-AS1	FAM13A-AS1	FAM13A-AS1
FAM13A	FAM13A	FAM13A
TIGD2	TIGD2	TIGD2
RP11-84C13.2	RP11-84C13.2	RP11-84C13.2
RNU6-907P	RNU6-907P	RNU6-907P
GPRIN3	GPRIN3	GPRIN3
RP11-115D19.1	RP11-115D19.1	RP11-115D19.1
SNCA	SNCA	SNCA
RP11-115D19.3	RP11-115D19.3	RP11-115D19.3
RP11-115D19.4	RP11-115D19.4	RP11-115D19.4
RP11-115D19.2	RP11-115D19.2	RP11-115D19.2
SNCA-AS1	SNCA-AS1	SNCA-AS1
MMRN1	MMRN1	MMRN1
CCSER1	CCSER1	CCSER1
RN7SKP248	RN7SKP248	RN7SKP248
RP11-11N6.1	RP11-11N6.1	RP11-11N6.1
TMSB4XP8	TMSB4XP8	TMSB4XP8
AC004054.1	AC004054.1	AC004054.1
RP11-763F8.1	RP11-763F8.1	RP11-763F8.1
RP11-254A24.2	RP11-254A24.2	RP11-254A24.2
KRT19P6	KRT19P6	KRT19P6
RP11-354O24.1	RP11-354O24.1	RP11-354O24.1
PMPCAP1	PMPCAP1	PMPCAP1
RP11-562F9.3	RP11-562F9.3	RP11-562F9.3
LNCPRESS2	LNCPRESS2	LNCPRESS2
RP11-9B6.1	RP11-9B6.1	RP11-9B6.1
GRID2	GRID2	GRID2
MTND1P19	MTND1P19	MTND1P19
RP11-428L21.2	RP11-428L21.2	RP11-428L21.2
RP11-428L21.1	RP11-428L21.1	RP11-428L21.1
RP11-131K17.1	RP11-131K17.1	RP11-131K17.1
RP11-703C10.1	RP11-703C10.1	RP11-703C10.1
RNA5SP164	RNA5SP164	RNA5SP164
ATOH1	ATOH1	ATOH1
RP11-363G15.2	RP11-363G15.2	RP11-363G15.2
HMGB3P15	HMGB3P15	HMGB3P15
SMARCAD1	SMARCAD1	SMARCAD1
HPGDS	HPGDS	HPGDS
RP11-398J16.1	RP11-398J16.1	RP11-398J16.1
PDLIM5	PDLIM5	PDLIM5
RP11-554D13.1	RP11-554D13.1	RP11-554D13.1
BMPR1B-AS1	BMPR1B-AS1	BMPR1B-AS1
BMPR1B	BMPR1B	BMPR1B
UNC5C	UNC5C	UNC5C
RP11-710C12.1	RP11-710C12.1	RP11-710C12.1
RPL30P6	RPL30P6	RPL30P6
PDHA2	PDHA2	PDHA2
RNU6-1059P	RNU6-1059P	RNU6-1059P
RNU6-34P	RNU6-34P	RNU6-34P
RP11-61G24.1	RP11-61G24.1	RP11-61G24.1
RP11-145G20.1	RP11-145G20.1	RP11-145G20.1
RN7SKP28	RN7SKP28	RN7SKP28
COX7A2P2	COX7A2P2	COX7A2P2
RP11-431J17.1	RP11-431J17.1	RP11-431J17.1
STPG2	STPG2	STPG2
RP11-681L8.1	RP11-681L8.1	RP11-681L8.1
STPG2-AS1	STPG2-AS1	STPG2-AS1
CRYZP2	CRYZP2	CRYZP2
RPL5P12	RPL5P12	RPL5P12
DUTP8	DUTP8	DUTP8
RP11-323J4.1	RP11-323J4.1	RP11-323J4.1
RAP1GDS1	RAP1GDS1	RAP1GDS1
RP11-810D13.1	RP11-810D13.1	RP11-810D13.1
TSPAN5	TSPAN5	TSPAN5
RP11-724M22.1	RP11-724M22.1	RP11-724M22.1
RP11-1299A16.3	RP11-1299A16.3	RP11-1299A16.3
RP11-1299A16.1	RP11-1299A16.1	RP11-1299A16.1
BTF3P13	BTF3P13	BTF3P13
EIF4E	EIF4E	EIF4E
TBCAP3	TBCAP3	TBCAP3
RP11-571L19.7	RP11-571L19.7	RP11-571L19.7
FAM177A1P1	FAM177A1P1	FAM177A1P1
RNU7-149P	RNU7-149P	RNU7-149P
NDUFS5P4	NDUFS5P4	NDUFS5P4
METAP1	METAP1	METAP1
MIR3684	MIR3684	MIR3684
ABT1P1	ABT1P1	ABT1P1
RP11-571L19.8	RP11-571L19.8	RP11-571L19.8
ADH5	ADH5	ADH5
RP11-696N14.1	RP11-696N14.1	RP11-696N14.1
ADH4	ADH4	ADH4
PCNAP1	PCNAP1	PCNAP1
ADH6	ADH6	ADH6
ADH1A	ADH1A	ADH1A
ADH1B	ADH1B	ADH1B
ADH1C	ADH1C	ADH1C
ADH7	ADH7	ADH7
RP11-696N14.3	RP11-696N14.3	RP11-696N14.3
C4orf17	C4orf17	C4orf17
TRMT10A	TRMT10A	TRMT10A
MTTP	MTTP	MTTP
RP11-766F14.1	RP11-766F14.1	RP11-766F14.1
RP11-766F14.2	RP11-766F14.2	RP11-766F14.2
DAPP1	DAPP1	DAPP1
AP001962.3	AP001962.3	AP001962.3
LAMTOR3	LAMTOR3	LAMTOR3
DNAJB14	DNAJB14	DNAJB14
RP11-15B17.4	RP11-15B17.4	RP11-15B17.4
H2AFZ	H2AFZ	H2AFZ
RP11-15B17.1	RP11-15B17.1	RP11-15B17.1
RP11-15B17.2	RP11-15B17.2	RP11-15B17.2
DYNLL1P6	DYNLL1P6	DYNLL1P6
DDIT4L	DDIT4L	DDIT4L
RP11-588P8.1	RP11-588P8.1	RP11-588P8.1
EMCN	EMCN	EMCN
LINC01216	LINC01216	LINC01216
LINC01217	LINC01217	LINC01217
LINC01218	LINC01218	LINC01218
PPP3CA	PPP3CA	PPP3CA
MIR8066	MIR8066	MIR8066
MIR1255A	MIR1255A	MIR1255A
FLJ20021	FLJ20021	FLJ20021
BANK1	BANK1	BANK1
RNU6-462P	RNU6-462P	RNU6-462P
MTND5P5	MTND5P5	MTND5P5
RP11-498M5.2	RP11-498M5.2	RP11-498M5.2
SLC39A8	SLC39A8	SLC39A8
RN7SL728P	RN7SL728P	RN7SL728P
RP11-499E18.1	RP11-499E18.1	RP11-499E18.1
AF213884.1	AF213884.1	AF213884.1
AF213884.2	AF213884.2	AF213884.2
NFKB1	NFKB1	NFKB1
MANBA	MANBA	MANBA
AF224669.3	AF224669.3	AF224669.3
LRRC37A15P	LRRC37A15P	LRRC37A15P
KRT8P46	KRT8P46	KRT8P46
RP11-10L12.1	RP11-10L12.1	RP11-10L12.1
RP11-10L12.2	RP11-10L12.2	RP11-10L12.2
UBE2D3	UBE2D3	UBE2D3
RP11-10L12.4	RP11-10L12.4	RP11-10L12.4
RNU7-151P	RNU7-151P	RNU7-151P
CISD2	CISD2	CISD2
SLC9B1	SLC9B1	SLC9B1
PABPC1P7	PABPC1P7	PABPC1P7
ACTR3BP4	ACTR3BP4	ACTR3BP4
SLC9B2	SLC9B2	SLC9B2
BDH2	BDH2	BDH2
CENPE	CENPE	CENPE
RP11-328K4.1	RP11-328K4.1	RP11-328K4.1
RP11-297P16.3	RP11-297P16.3	RP11-297P16.3
RP11-297P16.4	RP11-297P16.4	RP11-297P16.4
DDX3P3	DDX3P3	DDX3P3
TACR3	TACR3	TACR3
RNU6-635P	RNU6-635P	RNU6-635P
RP11-703G6.1	RP11-703G6.1	RP11-703G6.1
RP11-729M20.1	RP11-729M20.1	RP11-729M20.1
CXXC4	CXXC4	CXXC4
AC004063.1	AC004063.1	AC004063.1
CXXC4-AS1	CXXC4-AS1	CXXC4-AS1
RP11-556I14.2	RP11-556I14.2	RP11-556I14.2
RP11-395M19.1	RP11-395M19.1	RP11-395M19.1
RP11-556I14.1	RP11-556I14.1	RP11-556I14.1
RNU6-351P	RNU6-351P	RNU6-351P
RP11-556I14.3	RP11-556I14.3	RP11-556I14.3
AC004069.1	AC004069.1	AC004069.1
AC004069.2	AC004069.2	AC004069.2
TET2	TET2	TET2
TET2-AS1	TET2-AS1	TET2-AS1
RN7SL89P	RN7SL89P	RN7SL89P
PPA2	PPA2	PPA2
RNU6-553P	RNU6-553P	RNU6-553P
EEF1A1P9	EEF1A1P9	EEF1A1P9
AC004066.2	AC004066.2	AC004066.2
ATP5EP1	ATP5EP1	ATP5EP1
AC004066.3	AC004066.3	AC004066.3
ARHGEF38	ARHGEF38	ARHGEF38
ARHGEF38-IT1	ARHGEF38-IT1	ARHGEF38-IT1
RP11-311D14.1	RP11-311D14.1	RP11-311D14.1
INTS12	INTS12	INTS12
GSTCD	GSTCD	GSTCD
RP11-45L9.1	RP11-45L9.1	RP11-45L9.1
NPNT	NPNT	NPNT
RP11-710F7.2	RP11-710F7.2	RP11-710F7.2
RP11-710F7.3	RP11-710F7.3	RP11-710F7.3
TBCK	TBCK	TBCK
AIMP1	AIMP1	AIMP1
GIMD1	GIMD1	GIMD1
LINC02173	LINC02173	LINC02173
ACTR6P1	ACTR6P1	ACTR6P1
DKK2	DKK2	DKK2
RAC1P5	RAC1P5	RAC1P5
RP11-713M6.2	RP11-713M6.2	RP11-713M6.2
RNU6-551P	RNU6-551P	RNU6-551P
PAPSS1	PAPSS1	PAPSS1
SGMS2	SGMS2	SGMS2
RP11-286E11.1	RP11-286E11.1	RP11-286E11.1
RNU6-733P	RNU6-733P	RNU6-733P
CYP2U1	CYP2U1	CYP2U1
RP11-286E11.2	RP11-286E11.2	RP11-286E11.2
HADH	HADH	HADH
LEF1	LEF1	LEF1
LEF1-AS1	LEF1-AS1	LEF1-AS1
RPSAP34	RPSAP34	RPSAP34
ZACNP1	ZACNP1	ZACNP1
EXOC7P1	EXOC7P1	EXOC7P1
RPL34-AS1	RPL34-AS1	RPL34-AS1
RPL34	RPL34	RPL34
OSTC	OSTC	OSTC
RNU6-431P	RNU6-431P	RNU6-431P
ETNPPL	ETNPPL	ETNPPL
RP11-75N20.2	RP11-75N20.2	RP11-75N20.2
RCC2P8	RCC2P8	RCC2P8
COL25A1	COL25A1	COL25A1
AC004051.2	AC004051.2	AC004051.2
RBMXP4	RBMXP4	RBMXP4
SEC24B-AS1	SEC24B-AS1	SEC24B-AS1
SEC24B	SEC24B	SEC24B
RN7SL55P	RN7SL55P	RN7SL55P
MIR576	MIR576	MIR576
SETP20	SETP20	SETP20
CDC42P4	CDC42P4	CDC42P4
MCUB	MCUB	MCUB
HIGD1AP14	HIGD1AP14	HIGD1AP14
CASP6	CASP6	CASP6
AC004067.5	AC004067.5	AC004067.5
PLA2G12A	PLA2G12A	PLA2G12A
CFI	CFI	CFI
RP11-602N24.3	RP11-602N24.3	RP11-602N24.3
GAR1	GAR1	GAR1
RRH	RRH	RRH
LRIT3	LRIT3	LRIT3
KRT19P3	KRT19P3	KRT19P3
EGF	EGF	EGF
RNU6-35P	RNU6-35P	RNU6-35P
ELOVL6	ELOVL6	ELOVL6
RN7SL275P	RN7SL275P	RN7SL275P
RP11-115A14.1	RP11-115A14.1	RP11-115A14.1
HSBP1P2	HSBP1P2	HSBP1P2
RP11-433B3.1	RP11-433B3.1	RP11-433B3.1
RNU6-205P	RNU6-205P	RNU6-205P
ZBED1P1	ZBED1P1	ZBED1P1
ENPEP	ENPEP	ENPEP
RPL7L1P13	RPL7L1P13	RPL7L1P13
ZNF969P	ZNF969P	ZNF969P
snoU2_19	snoU2_19	snoU2_19
RP11-380D23.1	RP11-380D23.1	RP11-380D23.1
PANCR	PANCR	PANCR
PITX2	PITX2	PITX2
LINC01438	LINC01438	LINC01438
MIR297	MIR297	MIR297
LYPLA1P2	LYPLA1P2	LYPLA1P2
AC004062.2	AC004062.2	AC004062.2
RNU6-289P	RNU6-289P	RNU6-289P
RP11-255I10.1	RP11-255I10.1	RP11-255I10.1
RP11-255I10.2	RP11-255I10.2	RP11-255I10.2
RP11-269F21.1	RP11-269F21.1	RP11-269F21.1
RP11-269F21.2	RP11-269F21.2	RP11-269F21.2
RP11-269F21.3	RP11-269F21.3	RP11-269F21.3
CCDC34P1	CCDC34P1	CCDC34P1
TUBB8P3	TUBB8P3	TUBB8P3
RP11-477G18.1	RP11-477G18.1	RP11-477G18.1
C4orf32	C4orf32	C4orf32
RP11-477G18.2	RP11-477G18.2	RP11-477G18.2
RP11-73K9.2	RP11-73K9.2	RP11-73K9.2
AP1AR	AP1AR	AP1AR
RP11-73K9.3	RP11-73K9.3	RP11-73K9.3
TIFA	TIFA	TIFA
ALPK1	ALPK1	ALPK1
RTEL1P1	RTEL1P1	RTEL1P1
TOX4P1	TOX4P1	TOX4P1
NEUROG2	NEUROG2	NEUROG2
RP11-402J6.1	RP11-402J6.1	RP11-402J6.1
RPL23AP94	RPL23AP94	RPL23AP94
ZGRF1	ZGRF1	ZGRF1
RP11-402J6.3	RP11-402J6.3	RP11-402J6.3
LARP7	LARP7	LARP7
RP11-148B6.1	RP11-148B6.1	RP11-148B6.1
MIR367	MIR367	MIR367
MIR302D	MIR302D	MIR302D
MIR302A	MIR302A	MIR302A
MIR302C	MIR302C	MIR302C
MIR302B	MIR302B	MIR302B
OSTCP4	OSTCP4	OSTCP4
RP11-148B6.2	RP11-148B6.2	RP11-148B6.2
WRBP1	WRBP1	WRBP1
RP11-119H12.1	RP11-119H12.1	RP11-119H12.1
RPL7AP30	RPL7AP30	RPL7AP30
RP11-119H12.3	RP11-119H12.3	RP11-119H12.3
ANK2	ANK2	ANK2
RP11-119H12.4	RP11-119H12.4	RP11-119H12.4
RP11-119H12.6	RP11-119H12.6	RP11-119H12.6
RP11-119H12.5	RP11-119H12.5	RP11-119H12.5
RP11-650J17.1	RP11-650J17.1	RP11-650J17.1
RP11-650J17.2	RP11-650J17.2	RP11-650J17.2
MIR1243	MIR1243	MIR1243
MIR8082	MIR8082	MIR8082
AC004057.1	AC004057.1	AC004057.1
RN7SL184P	RN7SL184P	RN7SL184P
RNU1-138P	RNU1-138P	RNU1-138P
CAMK2D	CAMK2D	CAMK2D
RP11-397D21.1	RP11-397D21.1	RP11-397D21.1
ARSJ	ARSJ	ARSJ
RP11-26P13.2	RP11-26P13.2	RP11-26P13.2
RP11-362M19.1	RP11-362M19.1	RP11-362M19.1
UGT8	UGT8	UGT8
MIR577	MIR577	MIR577
CIR1P2	CIR1P2	CIR1P2
RN7SL808P	RN7SL808P	RN7SL808P
NDST4	NDST4	NDST4
MRPS33P3	MRPS33P3	MRPS33P3
RPF2P2	RPF2P2	RPF2P2
PGAM4P2	PGAM4P2	PGAM4P2
KRT18P21	KRT18P21	KRT18P21
RP11-659O3.1	RP11-659O3.1	RP11-659O3.1
EIF3KP3	EIF3KP3	EIF3KP3
RP11-166J5.1	RP11-166J5.1	RP11-166J5.1
TTC39CP1	TTC39CP1	TTC39CP1
MTRNR2L13	MTRNR2L13	MTRNR2L13
TRMT112P1	TRMT112P1	TRMT112P1
CUL4AP1	CUL4AP1	CUL4AP1
RP11-55L3.1	RP11-55L3.1	RP11-55L3.1
ACTN4P1	ACTN4P1	ACTN4P1
RNU6-119P	RNU6-119P	RNU6-119P
RP11-97F8.1	RP11-97F8.1	RP11-97F8.1
TRAM1L1	TRAM1L1	TRAM1L1
AC107399.1	AC107399.1	AC107399.1
AC107399.2	AC107399.2	AC107399.2
AC113617.1	AC113617.1	AC113617.1
LINC01378	LINC01378	LINC01378
RPSAP35	RPSAP35	RPSAP35
NT5C3AP1	NT5C3AP1	NT5C3AP1
AC108056.1	AC108056.1	AC108056.1
NDST3	NDST3	NDST3
FKBP4P1	FKBP4P1	FKBP4P1
SNHG8	SNHG8	SNHG8
PRSS12	PRSS12	PRSS12
NDUFS5P5	NDUFS5P5	NDUFS5P5
RP11-586D5.3	RP11-586D5.3	RP11-586D5.3
CEP170P1	CEP170P1	CEP170P1
RP11-384K6.6	RP11-384K6.6	RP11-384K6.6
RNU6-1054P	RNU6-1054P	RNU6-1054P
CICP16	CICP16	CICP16
SEPT14P4	SEPT14P4	SEPT14P4
RP11-384K6.8	RP11-384K6.8	RP11-384K6.8
METTL14	METTL14	METTL14
SEC24D	SEC24D	SEC24D
SYNPO2	SYNPO2	SYNPO2
RP11-358D17.1	RP11-358D17.1	RP11-358D17.1
RP11-358D17.2	RP11-358D17.2	RP11-358D17.2
MYOZ2	MYOZ2	MYOZ2
RP11-455G16.1	RP11-455G16.1	RP11-455G16.1
USP53	USP53	USP53
C4orf3	C4orf3	C4orf3
FABP2	FABP2	FABP2
KLHL2P1	KLHL2P1	KLHL2P1
RNU4-33P	RNU4-33P	RNU4-33P
RP11-548H18.2	RP11-548H18.2	RP11-548H18.2
GTF2IP12	GTF2IP12	GTF2IP12
RP11-33B1.4	RP11-33B1.4	RP11-33B1.4
RNU6-1217P	RNU6-1217P	RNU6-1217P
RP11-33B1.1	RP11-33B1.1	RP11-33B1.1
RP11-33B1.3	RP11-33B1.3	RP11-33B1.3
PDE5A	PDE5A	PDE5A
SNORA11	SNORA11	SNORA11
LINC01365	LINC01365	LINC01365
RP11-96A1.4	RP11-96A1.4	RP11-96A1.4
RP11-700N1.1	RP11-700N1.1	RP11-700N1.1
RP11-96A1.5	RP11-96A1.5	RP11-96A1.5
MAD2L1	MAD2L1	MAD2L1
RP11-679C8.2	RP11-679C8.2	RP11-679C8.2
LTV1P1	LTV1P1	LTV1P1
SAR1P3	SAR1P3	SAR1P3
RP11-501E14.1	RP11-501E14.1	RP11-501E14.1
PRDM5	PRDM5	PRDM5
RNU6-550P	RNU6-550P	RNU6-550P
SETP12	SETP12	SETP12
NDNF	NDNF	NDNF
RN7SKP137	RN7SKP137	RN7SKP137
RP11-647P12.1	RP11-647P12.1	RP11-647P12.1
RP11-647P12.2	RP11-647P12.2	RP11-647P12.2
TNIP3	TNIP3	TNIP3
RNU6-948P	RNU6-948P	RNU6-948P
QRFPR	QRFPR	QRFPR
RP11-364P2.2	RP11-364P2.2	RP11-364P2.2
TUBB4BP5	TUBB4BP5	TUBB4BP5
ANXA5	ANXA5	ANXA5
TMEM155	TMEM155	TMEM155
PP12613	PP12613	PP12613
EXOSC9	EXOSC9	EXOSC9
CCNA2	CCNA2	CCNA2
BBS7	BBS7	BBS7
RP11-63B13.1	RP11-63B13.1	RP11-63B13.1
TRPC3	TRPC3	TRPC3
AC097533.1	AC097533.1	AC097533.1
RN7SL335P	RN7SL335P	RN7SL335P
KIAA1109	KIAA1109	KIAA1109
ADAD1	ADAD1	ADAD1
IL2	IL2	IL2
IL21	IL21	IL21
IL21-AS1	IL21-AS1	IL21-AS1
CETN4P	CETN4P	CETN4P
BBS12	BBS12	BBS12
RP11-170N16.1	RP11-170N16.1	RP11-170N16.1
FGF2	FGF2	FGF2
RP11-170N16.2	RP11-170N16.2	RP11-170N16.2
RP11-170N16.3	RP11-170N16.3	RP11-170N16.3
NUDT6	NUDT6	NUDT6
SPATA5	SPATA5	SPATA5
CTB-51E13.1	CTB-51E13.1	CTB-51E13.1
SPRY1	SPRY1	SPRY1
RP11-381N20.2	RP11-381N20.2	RP11-381N20.2
RP11-381N20.1	RP11-381N20.1	RP11-381N20.1
LINC01091	LINC01091	LINC01091
AC096732.2	AC096732.2	AC096732.2
RPL21P50	RPL21P50	RPL21P50
RP11-107E21.1	RP11-107E21.1	RP11-107E21.1
RP11-728C8.1	RP11-728C8.1	RP11-728C8.1
CTD-2325B11.1	CTD-2325B11.1	CTD-2325B11.1
RP11-93I21.2	RP11-93I21.2	RP11-93I21.2
TECRP2	TECRP2	TECRP2
RP11-93I21.3	RP11-93I21.3	RP11-93I21.3
ANKRD50	ANKRD50	ANKRD50
FAT4	FAT4	FAT4
MIR2054	MIR2054	MIR2054
RP11-399F2.2	RP11-399F2.2	RP11-399F2.2
NUP58P1	NUP58P1	NUP58P1
TMEM248P1	TMEM248P1	TMEM248P1
RP11-318I4.1	RP11-318I4.1	RP11-318I4.1
RP11-318I4.2	RP11-318I4.2	RP11-318I4.2
RBM48P1	RBM48P1	RBM48P1
RP11-810P8.1	RP11-810P8.1	RP11-810P8.1
RP11-125O18.1	RP11-125O18.1	RP11-125O18.1
RP11-18O11.1	RP11-18O11.1	RP11-18O11.1
RP11-18O11.2	RP11-18O11.2	RP11-18O11.2
INTU	INTU	INTU
SLC25A31	SLC25A31	SLC25A31
HSPA4L	HSPA4L	HSPA4L
RP11-50D9.4	RP11-50D9.4	RP11-50D9.4
RP11-50D9.1	RP11-50D9.1	RP11-50D9.1
RP11-50D9.3	RP11-50D9.3	RP11-50D9.3
PLK4	PLK4	PLK4
RNU6-583P	RNU6-583P	RNU6-583P
MFSD8	MFSD8	MFSD8
ABHD18	ABHD18	ABHD18
LARP1B	LARP1B	LARP1B
RP11-214O14.1	RP11-214O14.1	RP11-214O14.1
FOSL1P1	FOSL1P1	FOSL1P1
PGRMC2	PGRMC2	PGRMC2
RP11-420A23.1	RP11-420A23.1	RP11-420A23.1
RP11-130C6.1	RP11-130C6.1	RP11-130C6.1
RP11-184M15.1	RP11-184M15.1	RP11-184M15.1
RP11-184M15.2	RP11-184M15.2	RP11-184M15.2
JADRR	JADRR	JADRR
JADE1	JADE1	JADE1
SCLT1	SCLT1	SCLT1
RP11-209D20.2	RP11-209D20.2	RP11-209D20.2
AC093826.1	AC093826.1	AC093826.1
C4orf33	C4orf33	C4orf33
RP11-392L5.2	RP11-392L5.2	RP11-392L5.2
ZSWIM5P3	ZSWIM5P3	ZSWIM5P3
RP11-378N18.1	RP11-378N18.1	RP11-378N18.1
RP11-419L4.1	RP11-419L4.1	RP11-419L4.1
RP11-519M16.1	RP11-519M16.1	RP11-519M16.1
RP11-422J15.1	RP11-422J15.1	RP11-422J15.1
EEF1GP8	EEF1GP8	EEF1GP8
RP11-521E5.1	RP11-521E5.1	RP11-521E5.1
PGBD4P4	PGBD4P4	PGBD4P4
GAPDHP56	GAPDHP56	GAPDHP56
RP11-401I19.2	RP11-401I19.2	RP11-401I19.2
RP11-401I19.1	RP11-401I19.1	RP11-401I19.1
RP11-488I4.2	RP11-488I4.2	RP11-488I4.2
RNU6-224P	RNU6-224P	RNU6-224P
RP11-314N14.1	RP11-314N14.1	RP11-314N14.1
RP11-758B24.1	RP11-758B24.1	RP11-758B24.1
RN7SL205P	RN7SL205P	RN7SL205P
RP11-614F17.1	RP11-614F17.1	RP11-614F17.1
RP11-614F17.2	RP11-614F17.2	RP11-614F17.2
RPL7AP28	RPL7AP28	RPL7AP28
RP11-745L13.2	RP11-745L13.2	RP11-745L13.2
RP11-789C2.1	RP11-789C2.1	RP11-789C2.1
RP11-1E22.1	RP11-1E22.1	RP11-1E22.1
ELL2P2	ELL2P2	ELL2P2
RP11-62N21.1	RP11-62N21.1	RP11-62N21.1
LINC01256	LINC01256	LINC01256
AARSP1	AARSP1	AARSP1
RP11-404I7.2	RP11-404I7.2	RP11-404I7.2
RP11-404I7.1	RP11-404I7.1	RP11-404I7.1
RP11-9G1.3	RP11-9G1.3	RP11-9G1.3
R3HDM2P1	R3HDM2P1	R3HDM2P1
PCDH10	PCDH10	PCDH10
RP11-285A15.1	RP11-285A15.1	RP11-285A15.1
RP11-427M20.1	RP11-427M20.1	RP11-427M20.1
PABPC4L	PABPC4L	PABPC4L
RP11-400D2.2	RP11-400D2.2	RP11-400D2.2
PES1P1	PES1P1	PES1P1
RP11-400D2.3	RP11-400D2.3	RP11-400D2.3
CTD-2012I17.1	CTD-2012I17.1	CTD-2012I17.1
RP11-192C21.2	RP11-192C21.2	RP11-192C21.2
RP11-192C21.3	RP11-192C21.3	RP11-192C21.3
RP11-192C21.1	RP11-192C21.1	RP11-192C21.1
RP11-553P9.1	RP11-553P9.1	RP11-553P9.1
RP11-553P9.2	RP11-553P9.2	RP11-553P9.2
RP11-553P9.3	RP11-553P9.3	RP11-553P9.3
KRT18P54	KRT18P54	KRT18P54
TARS2P1	TARS2P1	TARS2P1
RP11-780O17.1	RP11-780O17.1	RP11-780O17.1
LINC00613	LINC00613	LINC00613
RNU1-89P	RNU1-89P	RNU1-89P
RP11-782E2.2	RP11-782E2.2	RP11-782E2.2
RP11-775H9.3	RP11-775H9.3	RP11-775H9.3
RP11-775H9.2	RP11-775H9.2	RP11-775H9.2
RP11-775H9.1	RP11-775H9.1	RP11-775H9.1
TERF1P3	TERF1P3	TERF1P3
RP11-625B21.1	RP11-625B21.1	RP11-625B21.1
RP11-138I17.1	RP11-138I17.1	RP11-138I17.1
RP11-785F11.1	RP11-785F11.1	RP11-785F11.1
SERF1AP1	SERF1AP1	SERF1AP1
STMN1P2	STMN1P2	STMN1P2
RPS23P2	RPS23P2	RPS23P2
PCDH18	PCDH18	PCDH18
LINC02172	LINC02172	LINC02172
RP13-884E18.2	RP13-884E18.2	RP13-884E18.2
RP13-884E18.4	RP13-884E18.4	RP13-884E18.4
RP11-793B23.1	RP11-793B23.1	RP11-793B23.1
LINC00616	LINC00616	LINC00616
SLC7A11-AS1	SLC7A11-AS1	SLC7A11-AS1
SLC7A11	SLC7A11	SLC7A11
RP11-733C7.1	RP11-733C7.1	RP11-733C7.1
LINC00498	LINC00498	LINC00498
LINC00499	LINC00499	LINC00499
LINC00500	LINC00500	LINC00500
RP11-310A13.2	RP11-310A13.2	RP11-310A13.2
RP11-173E2.1	RP11-173E2.1	RP11-173E2.1
RP11-173E2.2	RP11-173E2.2	RP11-173E2.2
RP11-98O2.1	RP11-98O2.1	RP11-98O2.1
RP11-371F15.3	RP11-371F15.3	RP11-371F15.3
RP11-577B7.1	RP11-577B7.1	RP11-577B7.1
NOCT	NOCT	NOCT
ELF2	ELF2	ELF2
RNU6-531P	RNU6-531P	RNU6-531P
RN7SL382P	RN7SL382P	RN7SL382P
PPP1R14BP3	PPP1R14BP3	PPP1R14BP3
RN7SL311P	RN7SL311P	RN7SL311P
RNU6-506P	RNU6-506P	RNU6-506P
RNU6-1074P	RNU6-1074P	RNU6-1074P
MGARP	MGARP	MGARP
NDUFC1	NDUFC1	NDUFC1
NAA15	NAA15	NAA15
RNU6-1214P	RNU6-1214P	RNU6-1214P
RP11-83A24.2	RP11-83A24.2	RP11-83A24.2
RP11-83A24.1	RP11-83A24.1	RP11-83A24.1
RAB33B	RAB33B	RAB33B
SETD7	SETD7	SETD7
FTH1P24	FTH1P24	FTH1P24
RP11-342I1.2	RP11-342I1.2	RP11-342I1.2
RP11-308D13.3	RP11-308D13.3	RP11-308D13.3
MGST2	MGST2	MGST2
RN7SKP237	RN7SKP237	RN7SKP237
H3F3AP6	H3F3AP6	H3F3AP6
MAML3	MAML3	MAML3
RN7SKP253	RN7SKP253	RN7SKP253
RP11-392B6.1	RP11-392B6.1	RP11-392B6.1
SCOC	SCOC	SCOC
SCOC-AS1	SCOC-AS1	SCOC-AS1
NDUFB4P9	NDUFB4P9	NDUFB4P9
RPL14P3	RPL14P3	RPL14P3
CLGN	CLGN	CLGN
MGAT4D	MGAT4D	MGAT4D
RP11-542P2.2	RP11-542P2.2	RP11-542P2.2
ELMOD2	ELMOD2	ELMOD2
UCP1	UCP1	UCP1
RN7SL152P	RN7SL152P	RN7SL152P
RP11-5K16.3	RP11-5K16.3	RP11-5K16.3
TBC1D9	TBC1D9	TBC1D9
TNRC18P1	TNRC18P1	TNRC18P1
RNY1P14	RNY1P14	RNY1P14
RP11-102N12.2	RP11-102N12.2	RP11-102N12.2
